event layer r x y z
47 5 759.491 737.553 181.226 319.689
47 6 1004.88 972.085 254.621 368.287
47 7 1011.4 978.472 255.97 366.265
48 0 294.26 242.52 166.652 8.8255
48 1 394.335 337.12 204.573 36.821
48 2 553.732 485.404 266.463 84.6672
48 3 560.214 491.154 269.459 86.0843
48 4 754.881 669.765 348.224 122.38
48 5 761.294 675.745 350.623 123.422
48 6 994.828 887.016 450.428 171.009
48 7 1001.14 893.179 452.227 171.575
49 2 552.023 443.146 329.166 109.798
49 3 558.369 448.824 332.164 111.829
49 4 757.977 620.211 435.737 171.18
49 5 764.365 625.906 438.744 171.39
49 6 1003.24 829.059 564.926 270.097
49 7 1009.96 834.267 569.222 268.432
50 2 566.357 561.232 76.0155 -84.5612
50 2 567.278 561.686 79.4577 -84.4709
50 3 573.406 568.021 78.396 -86.2983
50 4 758.316 747.918 125.145 -24.9767
50 5 765.153 754.444 127.57 -24.91
50 6 990.445 974.054 179.448 23.9482
50 6 990.492 974.046 179.75 23.956
50 7 997.026 980.431 181.151 25.8285
51 0 288.64 249.666 144.843 148.878
51 1 390.49 343.968 184.847 182.661
51 2 568.509 508.816 253.592 209.847
51 3 574.931 514.963 255.653 207.755
51 3 557.152 498.359 249.112 210.071
51 4 767.303 694.194 326.876 270.24
51 4 768.056 693.658 329.77 270.317
51 4 768.114 693.617 329.993 270.322
51 4 768.309 693.479 330.735 270.342
51 4 768.368 693.438 330.958 270.348
51 4 768.427 693.397 331.18 270.354
51 5 773.889 700.236 329.505 268.305
51 6 1002.8 914.958 410.431 319.662
51 7 1009.99 920.407 415.853 366.428
51 7 1010.68 919.79 418.885 366.348
51 7 1009.23 921.094 412.476 318.135
51 7 1010.61 919.85 418.589 366.356
51 7 1010.99 919.519 420.217 366.313
52 0 292.654 283.835 71.3023 99.2775
52 1 390.954 376.162 106.523 110.161
52 2 568.46 542.226 170.698 136.034
52 3 575.27 548.584 173.18 133.914
52 4 766.278 726.717 243.03 172.134
52 5 773.11 732.946 245.945 170.385
52 6 1003.5 946.886 332.301 172.128
52 7 1010.18 953.052 334.902 220.023
53 0 290.064 283.625 60.7794 185.579
53 1 390.149 376.716 101.496 208.029
53 2 568.703 542.203 171.578 258.249
53 3 575.485 548.563 173.959 256.086
53 4 767.086 726.489 246.242 319.834
53 5 773.819 732.746 248.756 317.929
53 6 1003.42 946.929 331.926 368.118
53 7 1009.82 953.234 333.302 366.448
54 0 287.672 276.084 80.8265 107.378
54 1 393.546 374.611 120.602 134.721
54 2 552.471 522.606 179.184 158.262
54 3 558.936 528.777 181.12 160.109
54 4 769.367 725.862 255.05 222.064
54 5 776.144 732.108 257.715 219.695
54 4 751.056 708.682 248.707 219.789
54 5 757.648 714.701 251.461 221.986
54 6 1003.79 946.741 333.575 270.162
54 7 1010.38 952.952 335.776 268.383
55 0 289.912 283.611 60.1129 208.047
55 1 388.7 377.851 91.1936 231.951
55 2 561.963 542.896 145.146 281.753
55 3 568.646 549.264 147.2 280.973
55 4 757.895 729.35 206.04 318.786
55 5 764.34 735.699 207.275 319.01
55 6 992.609 953.195 276.933 416.296
55 7 999.311 959.323 279.86 417.463
56 1 390.234 389.919 15.6747 60.4271
56 2 563.254 559.627 63.8185 111.319
56 3 570.197 566.376 65.8996 110.23
56 4 756.158 747.471 114.286 170.941
56 5 762.947 753.99 116.56 171.577
56 6 1006.5 991.005 175.91 222.086
56 7 1013.11 997.511 177.125 219.689
56 6 989.278 974.255 171.753 219.748
56 7 995.821 980.639 173.229 222.035
57 0 288.422 283.473 53.1976 -38.9422
57 1 390.929 376.179 106.373 -13.468
57 2 554.386 520.387 191.156 36.3872
57 3 561.143 526.237 194.825 37.555
57 4 761.006 699.022 300.828 73.5511
57 5 767.645 705.023 303.68 72.9878
57 6 990.309 894.669 424.594 170.309
57 7 997.116 899.974 429.287 172.197
58 0 291.176 283.718 65.4784 88.4775
58 1 389.525 377.179 97.2951 109.919
58 2 563.874 542.687 153.118 135.577
58 3 570.462 549.066 154.77 134.393
58 4 759.644 728.754 214.422 171.388
58 5 766.104 735.095 215.756 171.172
58 6 994.202 952.152 286.082 220.535
58 7 1000.62 958.468 287.359 221.267
59 0 290.928 246.49 154.536 38.4755
59 1 391.301 342.351 189.505 60.5978
59 2 567.848 509.256 251.218 86.3591
59 3 574.273 515.403 253.277 84.3924
