event barcode charge pt d0
519 10001 -1 10768.3 87.6475
520 10001 -1 62392.4 93.3098
521 10001 1 7087.39 77.7767
522 10001 1 6856.57 57.4855
523 10001 -1 35526.7 -13.4604
524 10001 -1 6315.91 -29.5327
525 10001 1 22512.1 -63.1354
526 10001 1 5195.06 54.9723
527 10001 1 6991.9 -88.5347
528 10001 1 8508.27 86.846
529 10001 -1 7337.05 81.8852
530 10001 1 8860.95 -17.8107
531 10001 -1 10731.4 50.6665
532 10001 -1 56743.2 93.3416
533 10001 1 6241.79 -55.6541
534 10001 1 9196.97 -77.184
535 10001 1 5218.61 -65.2341
536 10001 1 29026.5 76.8681
537 10001 1 52785.7 -46.6949
538 10001 -1 67136.3 90.2702
539 10001 -1 5769.53 11.3097
540 10001 -1 5777.25 -88.6792
541 10001 -1 12664.7 60.135
542 10001 1 5471.03 61.6098
543 10001 -1 17900.3 -47.7333
544 10001 -1 13574.5 -47.4032
545 10001 1 6753.3 76.3368
546 10001 1 108712.0 -37.6567
547 10001 -1 36244.9 67.4419
548 10001 1 13140.0 -46.4429
549 10001 -1 5997.32 -60.7827
550 10001 1 8058.71 -42.9334
551 10001 1 21613.2 -84.1636
552 10001 1 9480.4 79.3319
553 10001 1 133826.0 74.413
554 10001 -1 10333.0 89.5995
555 10001 -1 6299.99 13.526
556 10001 1 15095.6 -6.74585
557 10001 -1 5175.21 89.7103
558 10001 -1 10166.4 -31.5432
559 10001 1 9152.09 -3.60801
560 10001 -1 6336.61 63.6342
561 10001 -1 6405.98 12.8388
562 10001 -1 5513.56 -30.1397
563 10001 -1 11009.5 -39.3702
564 10001 1 5542.96 26.8969
565 10001 -1 20679.6 59.0701
566 10001 -1 83967.0 -60.3651
567 10001 -1 9103.11 97.1521
568 10001 1 9454.36 -20.7986
569 10001 -1 14660.6 -95.0266
570 10001 -1 6653.17 -44.9644
571 10001 1 13626.4 -63.8707
572 10001 1 12988.4 -50.0713
573 10001 -1 5897.02 49.7395
574 10001 -1 14682.8 98.8259
575 10001 1 6014.92 -66.6677
576 10001 1 6197.82 -51.7969
577 10001 1 18025.0 24.9319
578 10001 -1 7237.16 21.8688
579 10001 1 8863.48 41.872
580 10001 1 12204.4 -47.8608
581 10001 -1 9994.93 1.11291
582 10001 -1 16561.2 31.9523
583 10001 -1 47828.8 35.5166
584 10001 -1 17188.8 -48.6555
585 10001 -1 14704.2 64.2334
586 10001 1 13866.7 -23.812
587 10001 -1 6337.09 -61.9528
588 10001 -1 15544.1 66.5599
589 10001 1 366255.0 63.915
590 10001 -1 10578.8 81.2598
591 10001 -1 8676.04 -26.1984
592 10001 -1 5071.25 61.1699
593 10001 1 10602.8 -4.03342
594 10001 -1 10858.6 -14.8563
595 10001 -1 5201.63 -71.1853
596 10001 1 22474.9 -66.9493
597 10001 1 37603.1 -48.1808
598 10001 -1 6657.92 -32.5513
599 10001 1 288178.0 -29.621
600 10001 1 9235.6 -31.1939
601 10001 -1 22577.1 74.587
602 10001 -1 19872.5 1.16164
603 10001 1 83746.4 78.3667
604 10001 1 17263.1 39.0576
605 10001 1 76216.6 6.67644
606 10001 1 15655.9 21.3307
607 10001 -1 23721.6 -83.249
608 10001 1 6476.59 -47.0794
609 10001 -1 62953.2 54.3762
610 10001 1 6679.77 -37.1077
611 10001 -1 5503.83 28.5578
612 10001 -1 7970.21 65.6072
613 10001 1 6765.18 96.3221
614 10001 -1 15177.0 -15.0521
615 10001 1 5122.54 -30.1982
616 10001 1 7624.58 71.4038
617 10001 -1 5759.69 -37.4929
618 10001 -1 5544.5 -16.4607
619 10001 1 5656.29 0.293868
620 10001 1 78877.1 -13.8311
621 10001 -1 5153.06 -8.86322
622 10001 1 8823.03 40.9115
623 10001 -1 5423.93 17.5762
624 10001 -1 19639.6 -68.0541
625 10001 -1 6659.3 -36.1063
626 10001 -1 6426.83 -51.9064
627 10001 -1 16938.3 75.6653
628 10001 -1 91003.9 -8.37182
629 10001 -1 49166.0 -90.8427
630 10001 -1 6127.45 44.1666
631 10001 -1 38517.7 86.0559
632 10001 -1 9661.28 88.179
633 10001 -1 10031.8 69.3552
634 10001 1 10131.9 13.0695
635 10001 -1 6934.89 -90.517
636 10001 -1 12263.1 -65.3731
637 10001 1 7456.66 -30.0604
638 10001 1 5480.51 15.9487
639 10001 1 5332.63 94.8795
640 10001 1 5788.25 -49.6655
641 10001 -1 14481.1 -6.07859
642 10001 1 7547.61 98.1595
643 10001 -1 5994.59 -81.0998
644 10001 1 19847.0 -55.703
645 10001 -1 6353.9 -13.6607
646 10001 1 10234.9 38.0447
647 10001 -1 5405.71 -22.046
648 10001 1 8297.66 -27.76
649 10001 -1 21714.3 21.3182
650 10001 1 7434.95 -60.2202
651 10001 -1 47818.4 -23.2268
652 10001 1 6010.49 -64.8878
653 10001 -1 5787.01 -54.8367
654 10001 -1 8795.96 89.4913
655 10001 1 9014.64 -67.8382
656 10001 -1 13066.5 57.5937
657 10001 -1 9077.17 37.6383
658 10001 1 12012.5 61.5889
659 10001 -1 9951.49 29.369
